REC_ART;ONRP;BFSNR;PLZ_TYP;POSTLEITZAHL;PLZ_ZZ;GPLZ;ORTBEZ18;ORTBEZ27;KANTON;SPRACHCODE;SPRACHCODE_ ABW;BRIEFZ_DURCH;GILT_AB_DAT;PLZ_BRIEFZUST;PLZ_COFF;Geo Shape;Geokoordinaten
1;5918;615;20;3532;2;3532;Mirchel;Mirchel;BE;1;;2059;1989-06-01;350600;J;;
1;5925;741;20;3274;3;3274;Merzligen;Merzligen;BE;1;;1416;1989-06-01;250060;J;;
1;5927;888;20;3086;2;3086;Englisberg;Englisberg;BE;1;;7260;1989-06-01;312360;J;;
1;5936;939;20;3624;2;3624;Schwendibach;Schwendibach;BE;1;;7330;1989-06-01;361260;J;;
1;5943;1032;20;6277;2;6277;Lieli;Lieli LU;LU;1;;7690;1989-06-01;628060;J;;
1;5945;1057;20;6038;2;6038;Honau;Honau;LU;1;;8203;1996-08-05;603760;J;;
1;5947;1631;20;8774;0;8774;Leuggelbach;Leuggelbach;GL;1;;8110;1996-03-04;876260;J;;
1;5950;2275;20;3215;2;3215;Büchslen;Büchslen;FR;1;;7673;1989-06-01;321060;J;;
1;5951;2261;20;3280;4;3280;Greng;Greng;FR;1;2;7220;1996-09-05;328060;J;;
1;5952;2266;20;3213;2;3213;Kleinbösingen;Kleinbösingen;FR;1;;1885;1996-09-05;321200;J;;
1;5954;2275;20;3215;3;3215;Lurtigen;Lurtigen;FR;1;;7673;1989-06-01;321060;J;;
1;5960;2511;20;4556;3;4556;Burgäschi;Burgäschi;SO;1;;2752;1996-09-12;455400;J;;
1;5962;2535;20;4558;2;4558;Heinrichswil;Heinrichswil;SO;1;;2761;1996-09-12;456600;J;;
1;5967;2549;20;4535;2;4535;Kammersrohr;Kammersrohr;SO;1;;2730;1996-09-12;452300;J;;
1;5969;2890;20;4436;2;4436;Liedertswil;Liedertswil;BL;1;;2665;1995-11-22;443400;J;;
1;5973;3603;20;7116;2;7116;St. Martin;St. Martin (Lugnez);GR;1;;8395;1991-09-18;713060;J;;
1;5974;3673;20;7415;2;7415;Pratval;Pratval;GR;1;;8394;1989-06-01;743060;J;;
1;5975;3661;20;7423;2;7423;Portein;Portein;GR;1;;8394;1989-06-01;743060;J;;
1;5976;3921;20;7027;3;7027;Calfreisen;Calfreisen;GR;1;;8333;1997-12-11;705060;J;;
1;5978;6809;20;2912;2;2912;Réclère;Réclère;JU;2;;1605;1996-09-13;290060;J;;
1;5980;2574;20;5012;4;5012;Eppenberg;Eppenberg;SO;1;;2917;1995-12-07;500060;J;;
1;5987;4476;20;8586;7;8586;Buchackern;Buchackern;TG;1;;7223;1996-03-06;858060;J;;
1;5992;4571;20;8546;2;8546;Kefikon TG;Kefikon TG;TG;1;;4808;1999-10-21;850060;J;;
1;5996;4590;20;8553;2;8553;Harenwilen;Harenwilen;TG;1;;4808;1999-06-14;850060;J;;
1;5997;4590;20;8553;3;8553;Mettendorf TG;Mettendorf TG;TG;1;;4808;1999-06-14;850060;J;;
1;6000;4666;20;8566;4;8566;Ellighausen;Ellighausen;TG;1;;4631;1996-07-12;827400;J;;
1;6003;4681;20;8585;7;8585;Schönenbaumgarten;Schönenbaumgarten;TG;1;;7223;1998-02-16;858060;J;;
1;6010;4611;20;8512;3;8512;Wetzikon TG;Wetzikon TG;TG;1;;4808;1996-03-06;850060;J;;
1;6016;4871;20;8259;3;8259;Rheinklingen;Rheinklingen;TG;1;;7698;1996-06-11;826060;J;;
1;6032;5048;20;6723;3;6723;Marolta;Marolta;TI;3;;3724;1995-12-18;671701;J;;
1;6043;6203;20;3983;3;3983;Filet;Filet;VS;1;;5495;1996-09-02;390060;J;;
1;6044;6181;20;3983;4;3983;Goppisberg;Goppisberg;VS;1;;5495;1996-09-02;390060;J;;
1;6045;6205;20;3994;2;3994;Martisberg;Martisberg;VS;1;;2426;1996-09-02;398400;J;;
1;6048;1091;20;6212;2;6212;Kaltbach;Kaltbach;LU;1;;7217;1995-12-07;621060;J;;
1;6049;4601;20;8525;2;8525;Wilen b. Neunforn;Wilen b. Neunforn;TG;1;;8245;1996-07-12;845060;J;;
1;6053;6417;20;2027;3;2027;Fresens;Fresens;NE;2;;1295;1996-09-10;202200;J;;
1;6054;6793;20;2933;3;2933;Lugnez;Lugnez;JU;2;;1605;1998-08-01;290060;J;;
1;6060;5162;20;6814;3;6814;Cadempino;Cadempino;TI;3;;6034;1989-06-01;681402;J;;
1;6061;2456;20;4584;2;4584;Lüterswil;Lüterswil;SO;1;;2768;1995-08-02;458300;J;;
1;6066;3273;20;9470;5;9470;Werdenberg;Werdenberg;SG;1;;7718;1996-08-06;947060;J;;
1;6122;5409;20;1884;2;1884;Arveyes;Arveyes;VD;2;;7666;1999-10-21;188060;J;;
1;6126;4284;20;5053;2;5053;Wittwil;Wittwil;AG;1;;2960;1995-12-07;504000;J;;
1;6133;34;20;8212;4;8212;Nohl;Nohl;ZH;1;;4562;1996-03-06;820060;J;;
1;6137;3378;20;9122;2;9122;Ebersol;Ebersol;SG;1;;5269;1989-09-01;912500;J;;
1;6144;5210;20;6900;9;6900;Paradiso;Paradiso;TI;3;;3837;1996-06-11;690060;J;;
1;6146;2174;20;1754;4;1754;Avry-sur-Matran;Avry-sur-Matran;FR;2;;5805;1998-08-01;175402;J;;
1;6149;5642;80;1110;3;1110;Morges Grosse P.;Morges Grosse Pierre;VD;2;;6256;1989-11-06;111060;;;
1;6165;342;20;4922;2;4922;Thunstetten;Thunstetten;BE;1;;7296;1996-09-12;490060;J;;
1;6166;2196;80;1709;0;1700;Fribourg Beaumont;Fribourg Beaumont;FR;2;;926;1996-09-05;170060;;;
1;6167;5938;80;1400;3;1400;Yverdon Villette;Yverdon La Villette;VD;2;;6257;1994-10-27;140060;;;
1;6177;5852;20;1195;3;1195;Bursinel;Bursinel;VD;2;;7164;1990-07-01;119660;J;;
1;6186;193;20;8118;0;8118;Pfaffhausen;Pfaffhausen;ZH;1;;4508;1991-06-03;811700;J;;
1;6196;3203;40;9028;0;9000;St. Gallen;St. Gallen;SG;1;;5219;1994-01-03;901500;;;
1;6197;3203;40;9027;0;9000;St. Gallen;St. Gallen Mona Versand;SG;1;;5219;1997-09-19;901500;;;
1;6205;942;40;3609;0;3600;Thun;Thun;BE;1;;2101;2003-01-01;360060;;;
1;6206;2206;30;1723;1;1723;Marly 1;Marly 1;FR;2;;6206;1996-09-05;172301;;;
1;6235;261;80;8050;76;8000;Zürich Postauto;Zürich Postauto Zürich;ZH;1;;7303;1996-02-26;805060;;;
1;6239;96;20;8106;2;8106;Adlikon b.Regensdf;Adlikon b. Regensdorf;ZH;1;;8324;1993-02-05;810760;J;;
1;6240;3215;80;9400;60;9400;Rorschach Zust;Rorschach Zustellung;SG;1;;6240;1999-04-08;940060;;;
1;6243;1707;20;6343;4;6343;Holzhäusern ZG;Holzhäusern ZG;ZG;1;;8452;1996-03-04;633160;J;;
1;6256;5638;80;1110;60;1110;Morges Dist;Morges Distribution;VD;2;;6256;2003-10-01;111060;;;
1;6257;5938;80;1400;60;1400;Yverdon Dist;Yverdon Distribution;VD;2;;6257;2003-01-01;140060;;;
1;6259;406;20;3415;1;3415;Hasle b. Burgdorf;Hasle b. Burgdorf;BE;1;;7675;1993-02-04;341560;J;;
1;6279;1631;30;8775;0;8775;Luchsingen-Hätzin;Luchsingen-Hätzingen;GL;1;;6279;1996-03-04;877500;;;
1;6288;2769;40;4040;2;4000;Basel;Basel;BL;1;;4393;1997-09-25;801000;;;
1;6297;5002;80;6500;65;6500;Bellinzona CS;Bellinzona centro servici;TI;3;;3545;1995-12-06;650060;;;
1;6347;4851;20;8268;2;8268;Salenstein;Salenstein;TG;1;;4631;1996-03-06;827400;J;;
1;6349;4551;20;8522;2;8522;Aawangen;Aawangen;TG;1;;4672;1996-07-12;835500;J;;
1;6352;4683;20;8574;2;8574;Oberhofen TG;Oberhofen TG;TG;1;;4934;1998-02-16;859500;J;;
1;6353;1147;20;6260;3;6260;Hintermoos;Hintermoos;LU;1;;7692;1995-09-04;626060;J;;
1;6354;6621;40;1211;71;1211;Genève 71 CS CP;Genève 71 CS CP;GE;2;;4393;1995-04-12;801000;;;
1;6362;2526;10;4573;0;4573;Lohn-Ammannsegg;Lohn-Ammannsegg;SO;1;;2716;1996-09-13;450060;J;;
1;6414;1024;30;6021;0;6021;Emmenbrücke 1;Emmenbrücke 1;LU;1;;6414;1994-06-02;602100;;;
1;6416;1031;30;6281;0;6281;Hochdorf;Hochdorf;LU;1;;6416;1994-06-02;628100;;;
1;6417;1059;30;6011;0;6011;Kriens;Kriens;LU;1;;6417;1994-06-02;601100;;;
1;6420;1372;30;6431;0;6431;Schwyz;Schwyz;SZ;1;;6420;1996-03-04;643100;;;
1;6436;5724;30;1260;2;1260;Nyon 2;Nyon 2;VD;2;;6436;1994-10-14;126002;;;
1;6445;3427;30;9501;0;9500;Wil SG 1;Wil SG 1;SG;1;;6445;1998-03-20;950100;;;
1;6499;1407;30;6060;4;6060;Sarnen 2;Sarnen 2;OW;1;;6499;1995-08-30;606004;;;
1;6518;6621;40;1211;84;1200;Genève 84 Votation;Genève 84 Votations;GE;2;;352;1995-06-21;120050;;;
1;6520;581;80;3800;76;3800;Interlaken Pauto;Interlaken Postauto BE Ober;BE;1;;7281;1996-09-04;380060;;;
1;6525;1061;80;6000;76;6000;Luzern Postauto;Luzern Postauto Zentralschw;LU;1;;3202;1996-02-26;600060;;;
1;6531;2701;40;4070;0;4000;Basel;Basel;BS;1;;2452;1995-08-30;400202;;;
1;6550;2541;20;4524;3;4524;Oberbalmberg;Oberbalmberg;SO;1;;2730;1996-09-12;452300;J;;
1;6551;1135;20;6156;2;6156;Luthern Bad;Luthern Bad;LU;1;;3310;1995-12-07;614400;J;;
1;6554;1140;20;6260;4;6260;Mehlsecken;Mehlsecken;LU;1;;7692;1998-05-25;626060;J;;
1;6565;4566;40;8510;0;8510;Frauenfeld;Frauenfeld Kant. Verwaltung;TG;1;;4808;1996-08-06;850060;;;
1;6574;5192;80;6900;4;6900;Lugano 4;Lugano 4;TI;3;;3837;2003-02-01;690060;;;
1;6585;3668;20;7431;2;7431;Obermutten;Obermutten;GR;1;;4262;1996-06-14;745000;J;;
1;6589;351;40;3000;61;3000;Bern 60 UPD;Bern 60 UPD;BE;1;;8131;1996-10-01;307160;;;
1;6601;4501;20;9214;2;9214;Kradolf;Kradolf;TG;1;;4902;1998-08-18;858300;J;;
1;6606;2196;80;1700;75;1700;Fribourg Caserne;Fribourg Caserne;FR;2;;926;2003-01-01;170060;;;
1;6607;6621;80;1211;75;1211;Genève 26 Caserne;Genève 26 Caserne;GE;2;;7162;2003-01-01;122760;;;
1;6609;5115;80;6616;75;6616;Losone Caserma;Losone Caserma;TI;3;;3621;2003-01-01;660060;;;
1;6610;1061;80;6000;75;6000;Luzern Kaserne;Luzern Kaserne;LU;1;;3202;2003-01-01;600060;;;
1;6611;306;80;3250;75;3250;Lyss Kaserne;Lyss Kaserne;BE;1;;1898;2003-01-01;325060;;;
1;6612;3293;80;8887;75;8887;Mels Kaserne;Mels Kaserne;SG;1;;7723;2003-01-01;888760;;;
1;6613;5238;80;6802;75;6802;Rivera Caserma;Rivera Caserma;TI;3;;3805;2003-01-01;680500;;;
1;6618;1509;80;6370;75;6370;Stans Kaserne;Stans Kaserne;NW;1;;8207;2003-01-01;637460;;;
1;6619;5061;80;6780;75;6780;Airolo Caserma;Airolo Caserma;TI;3;;3747;2003-01-01;678000;;;
1;6620;351;80;3000;75;3000;Bern 22 Kaserne;Bern 22 Kaserne;BE;1;;1686;2003-01-01;300022;;;
1;6631;1201;80;6460;2;6460;Altdorf UR 2 Ryn.;Altdorf UR 2 Rynächt;UR;1;;3507;1998-04-29;646700;;;
1;6676;6461;20;2075;2;2075;Wavre;Wavre;NE;2;1;7653;1997-03-21;207460;J;;
1;7009;4671;40;8285;0;8285;Kreuzlingen Ifolor;Kreuzlingen Ifolor AG;TG;1;;4633;1997-07-28;828001;;;
1;7065;2701;40;4039;0;4000;Basel SSF;Basel SSF;BS;1;;2452;1997-12-11;400202;;;
1;7100;942;80;3600;70;3600;Thun Dist Ba;Thun Dist Ba;BE;1;;7100;1998-11-23;360070;;;
1;7162;6608;80;1227;60;1227;Carouge GE Dist;Carouge GE Distribution;GE;2;;7162;2003-06-01;122760;;;
1;7170;5401;80;1860;60;1860;Aigle Distribution;Aigle Distribution;VD;2;;7170;2003-05-01;186060;;;
1;7171;5624;80;1030;60;1030;Bussigny Dist;Bussigny Distribution;VD;2;;7171;2003-06-01;103060;;;
1;7172;5583;80;1023;60;1023;Crissier 1 Dist;Crissier Distribution;VD;2;;7172;2003-04-01;102360;;;
1;7179;2769;80;4142;60;4142;Münchenstein 1 Zus;Münchenstein 1 Zustellung;BL;1;;7179;2003-06-01;414260;;;
1;7180;2771;80;4104;60;4104;Oberwil BL Zust;Oberwil BL Zustellung;BL;1;;7180;2003-05-01;410460;;;
1;7185;2775;80;4106;60;4106;Therwil Zustellung;Therwil Zustellung;BL;1;;7185;2003-05-01;410660;;;
1;7188;4063;80;5620;60;5620;Bremgarten 1 Zust;Bremgarten AG 1 Zustellung;AG;1;;7188;2003-05-01;562060;;;
1;7192;4258;80;4310;60;4310;Rheinfelden 1 Zust;Rheinfelden 1 Zustellung;AG;1;;7192;2003-10-01;431060;;;
1;7196;4045;80;5430;60;5430;Wettingen 1 Zust;Wettingen 1 Zustellung;AG;1;;7196;2003-09-01;543060;;;
1;7200;1364;80;6440;60;6440;Brunnen Zust;Brunnen Zustellung;SZ;1;;7200;2003-09-01;644060;;;
1;7202;1054;80;6030;60;6030;Ebikon Zustellung;Ebikon Zustellung;LU;1;;7202;2003-06-01;603060;;;
1;7205;1402;80;6390;60;6390;Engelberg Zust;Engelberg Zustellung;OW;1;;7205;2003-05-01;639060;;;
